ID,Symbol,Start_date,market_cap,Sector,Country,CEO,No.of employee,Revenue (Cr),Net-valuation (Cr),Share_price (RS),Company_background,Type,Product
PROJ0x5377,,,?,Private_sector,Guatemala,Pamela Terrano,,15.226766068690289,2284.0149103035433,325.2," The LCV concept was created as a compact truck and is usually optimised to be tough-built, have low operating costs and powerful yet fuel efficient engines, and to be used in intra-city operations.1% stake in Renault Samsung.",Light Vehicles,Bike
PROJ0x24dc,,,small-cap,Private_sector,,?,,-999.0,-11230.811693363396,75.35,"Data movement is typically from one place in memory to another. (There is a push in some parts of the software industry to merge desktop applications with mobile apps, to some extent. Thus an ordinary programmer would not expect to ever have to deal with it.",Light Vehicles,AI
PROJ0x78e,,,large-cap,Public_sector,,?,,24.27911260914369,7283.733782743108,653.65,1% share in Daimler AG.Dongfeng Motor and Nissan have a 50-50% joint venture called Dongfeng Motor Company.ZAP holds a 51% stake in Zhejiang Jonway.,Heavy Vehicles,JCP
PROJ0x403b,,,small-cap,Private_sector,,?,17373.0,1.4027782279531942,35.069455698829856,-22.246569111376857,"Software patents, like other types of patents, are theoretically supposed to give an inventor an exclusive, time-limited license for a detailed idea (e. However, the term information technology in its modern sense first appeared in a 1958 article published in the Harvard Business Review; authors Harold J.",Light Vehicles,AI
PROJ0x8700,,,mid-cap,?,Madagascar,Elizabeth Finch,,3.5152032346897326,703.0406469379466,61.4,"Data transmission has three aspects: transmission, propagation, and reception.Software patents, like other types of patents, are theoretically supposed to give an inventor an exclusive, time-limited license for a detailed idea (e.",Light Vehicles,AI
PROJ0x5758,,,large-cap,Private_sector,,?,,?,,-2770.3314109673624," In the concept, it was to have had a payload capacity of up to 151 t (333,000 lb) to low earth orbit.Mitsubishi Group holds 20% of Mitsubishi Motors.PSA and Toyota have a 50-50% joint venture called Toyota Peugeot Citroen Automobile Czech .",Light Vehicles,Truck
PROJ0x86fc,,,?,,,?,7398.0,3.2939944747832675,329.39944747832675,581.85,"2% stake in Toyota. These ownerships can be explored under the detail for the individual companies.Blue Origin has plans for a project following their New Glenn rocket, termed New Armstrong, which some media sources have speculated will be a larger launch vehicle.",Light Vehicles,Truck
PROJ0x71a5,UHL,"May,1969",large-cap,?,,Jerome Glaude,,36.536861143348105,7307.3722286696175,3444.123531722619,69% stake in Daimler AG.PSA and Toyota have a 50-50% joint venture called Toyota Peugeot Citroen Automobile Czech .,Light Vehicles,Truck
PROJ0x4cc8,,,?,Public_sector,,Erin Miller,,9.835383804143635,2458.845951035909,637.2,The automotive industry began in the 1860s with hundreds of manufacturers that pioneered the horseless carriage. The program was suspended in May 1974 and formally cancelled in March 1976.8 million units.,Heavy Vehicles,JCP
PROJ0x5919,,,?,?,,Robert Parnell,16110.0,-999.0,,240.4,Fujian Motors Group holds a 15% stake in King Long.Porsche Automobil Holding SE has a 50.,Light Vehicles,Bike
PROJ0x9b5a,JUY,,small-cap,?,,Walter Marquez,,3.9401243811403295,10301.388919116773,393.85,No records,Heavy Vehicles,JCP
