ID,Symbol,Start_date,market_cap,Sector,Country,CEO,No.of employee,Revenue (Cr),Net-valuation (Cr),Share_price (RS),Company_background,Type,Product
PROJ0x5eb4,,"January,1971",?,Private_sector,Jordan,?,,7.470207551077776,1494.041510215555,997.7,"Several other breakthroughs in semiconductor technology include the integrated circuit (IC) invented by Jack Kilby at Texas Instruments and Robert Noyce at Fairchild Semiconductor in 1959, the metal-oxide-semiconductor field-effect transistor (MOSFET) invented by Mohamed Atalla and Dawon Kahng at Bell Laboratories in 1959, and the microprocessor invented by Ted Hoff, Federico Faggin, Masatoshi Shima and Stanley Mazor at Intel in 1971.. They typically contain data extracted from various sources, including external sources such as the Internet, organized in such a way as to facilitate decision support systems (DSS).",Hardware,Hardware accelerator
PROJ0x23e6,,,mid-cap,Private_sector,,?,,4.692247285668072,938.4494571336144,308.8," Most digital data today is still stored magnetically on hard disks, or optically on media such as CD-ROMs.) are similar to other computer science degrees.In a business context, the Information Technology Association of America has defined information technology as ""the study, design, development, application, implementation, support or management of computer-based information systems"".",Hardware,Gaming hardware
PROJ0x7ac,,,large-cap,Public_sector,,Glenn Scurry,78595.0,-999.0,1590.1575072640585,526.85," Companies like Oracle and Microsoft provide their own APIs so that many applications are written using their software libraries that usually have numerous APIs in them.Software at Curlie. an algorithm) on how to implement a piece of software, or a component of a piece of software.",Software,AI
PROJ0x7115,,,?,?,,Patti Bohannon,55959.0,17.79232410128427,3558.464820256853,788.05,g. (1986).,Security,antivirus-security
PROJ0x514e,,"October,1957",?,?,,?,,31.28010891645113,4692.01633746767,398.45,"The relational database model introduced a programming-language independent Structured Query Language (SQL), based on relational algebra. Others argue that security depends principally on building the conditions in which equitable relationships can develop, partly by reducing antagonism between actors, ensuring that fundamental needs can be met, and also that differences of interest can be negotiated effectively. Beneficiaries (technically referents) of security may be of persons and social groups, objects and institutions, ecosystems or any other entity or phenomenon vulnerable to unwanted change.",Security,Cyber-security
PROJ0x2137,,,?,?,,Arlette Chase,10216.0,8.062277184273773,,,"The relational database model introduced a programming-language independent Structured Query Language (SQL), based on relational algebra.Hilbert and Lopez identify the exponential pace of technological change (a kind of Moore's law): machines' application-specific capacity to compute information per capita roughly doubled every 14 months between 1986 and 2007; the per capita capacity of the world's general-purpose computers doubled every 18 months during the same two decades; the global telecommunication capacity per capita doubled every 34 months; the world's storage capacity per capita required roughly 40 months to double (every 3 years); and per capita broadcast information has doubled every 12. High-level languages are translated into machine language using a compiler or an interpreter or a combination of the two.",Software,AI
PROJ0x4227,BEJ,,?,Private_sector,,Jodie Dominguez,,48.829321867396295,,651.5,g.Assurance - an expression of confidence that a security measure will perform as expected.,Software,Cyber-security
PROJ0x5853,,,?,?,,Harold Overstreet,,8.59662550580224,,405.4," In modern times these commonly include some JavaScript to be run in the web browser as well, in which case they typically run partly on the server, partly in the web browser.Early electronic computers such as Colossus made use of punched tape, a long strip of paper on which data was represented by a series of holes, a technology now obsolete. Morton, eds.",Hardware,AI
PROJ0x9aa2,,"September,1975",large-cap,?,,?,11652.0,12.98836892839457,3247.0922320986438,6715.307030001679,"Massive amounts of data are stored worldwide every day, but unless it can be analyzed and presented effectively it essentially resides in what have been called data tombs: ""data archives that are seldom visited"". The referent in question may combine many referents, in the same way that, for example, a nation state is composed of many individual citizens.",Security,antivirus-security
PROJ0x49f5,,"October,2011",small-cap,Private_sector,,Betty Watson,26969.0,-999.0,-15628.31960939176,602.2," ISSN 2222-9280Gleick, James (2011). Companies have also sought to integrate IT with business outcomes and decision-making through a BizOps or business operations department.  It is also worth noting that from a business perspective, Information Technology departments are a “cost center” the majority of the time.",Hardware,Hardware accelerator
