ID,Symbol,Start_date,market_cap,Sector,Country,CEO,No.of employee,Revenue (Cr),Net-valuation (Cr),Share_price (RS),Company_background,Type,Product
PROJ0x6204,,,?,Private_sector,,Joseph Silveri,,20.639119026333827,2063.911902633383,112.7," Under its French name, Parme, it was also created a duché grand-fief de l'Empire for Charles-François Lebrun, duc de Plaisance, the Emperor's Arch-Treasurer, on 24 April 1808 (extinguished in 1926). With the plebiscite of 1860 the former duchy became part of the unified Kingdom of Italy.  There are many ways of providing healthcare in the modern world.",Pharma,siddha
PROJ0x22b0,,,?,?,,?,,16.738723469647113,,883.05,"In areas with low levels of government stability or poverty, there is often no mechanism for ensuring that health costs are covered by a party other than the individual. The system was initially proposed in his 1942 report, Social Insurance and Allied Services—known as the Beveridge Report.Sanctuary of Santa Maria della Steccata.",Diagnostic,allopathy
PROJ0x3c1d,,"July,1988",?,,,?,,18.370863702188927,5511.259110656679,-1186.565110559623," During the Middle Ages, Parma became an important stage of the Via Francigena, the main road connecting Rome to Northern Europe; several castles, hospitals and inns were built in the following centuries to host the increasing number of pilgrims who passed by Parma and Fidenza, following the Apennines via Collecchio, Berceto and the Corchia ranges before descending the Passo della Cisa into Tuscany, heading finally south toward Rome.Parma also has two food multinationals, Barilla and Parmalat and a medium-large food tourism sector represented by Parma Golosa and Food Valley companies.9 percent of GDP by 2025.",Diagnostic,allopathy
PROJ0xab4,,,?,?,Yugoslavia,?,,13.64795618973198,-20403.40150900469,," In the EU, all medical devices must be identified with the CE mark. Although these bodies often collaborate and discuss the definition in general, there are subtle differences in wording that prevent a global harmonization of the definition of a medical device, thus the appropriate definition of a medical device depends on the region. While up to 70% of medical equipment in sub-Saharan Africa is donated, only 10%–30% of donated equipment becomes operational.",Diagnostic,Medical devices
PROJ0x3045,,,?,?,Australia,?,,-999.0,296.45047784464197,14.7," has outsourced too much in some areas and can no longer rely on the financial sector and consumer spending to drive demand.Plato and Aristotle were not the first contributors in ancient Greece to the study of the ""good"" and discussion preceding them can be found among the pre-Socratic philosophers.",Pharma,Organicfood
PROJ0x2c29,IER,"April,1983",?,?,,Wayne Venzke,,?,-11469.129738105572,-2740.5872766934976,"List of manufacturing processesManufacturing Process ManagementManagementList of management topicsTotal quality managementQuality controlSix SigmaList of largest manufacturing companies by revenueIndustrial robotManufacturing engineeringProcess manufacturingManufacturing in the United StatesIndustrial engineeringAdvanced manufacturingMetal fabricationMicrofabricationOptics fabricationSemiconductor device fabricationBiomanufacturingMesoscale ManufacturingCyber manufacturingTaylorism/Scientific managementFordismKalpakjian, Serope; Steven Schmid (August 2005).2 million – one in six U. Prentice Hall.",Pharma,Organicfood
PROJ0x41ba,,,large-cap,Public_sector,,Sharon Cain,30.0,23.353414266752463,,174.05, Practices like these are especial applicable to rural regions in developed nations. During this age (between 1500 BC and 800 BC) the first necropolis (on the sites of the present-day Piazza Duomo and Piazzale della Macina) were constructed.,Pharma,siddha
PROJ0x1329,,,?,?,,?,,15.326960717832105,,330.1,No records,Pharma,siddha
PROJ0x242b,TPL,"August,1974",mid-cap,Public_sector,Seychelles,?,,3.6347059348946154,908.6764837236535,," The largest foreign group came from other parts of Europe (namely Moldova, Romania, Albania, and Ukraine: 6. However, depending on the specific system, public providers can be accompanied by private doctors who collect fees from the government.The Auditorium Niccolò Paganini, designed by Renzo Piano.",Pharma,siddha
PROJ0x1b43,,,small-cap,?,,?,,2.864369033163706,286.4369033163706,,"15. The law encourages patient diversity in clinical trials submitted to the FDA for review, but does not require it.",Diagnostic,Medical devices
