ID,Symbol,Start_date,market_cap,Sector,Country,CEO,No.of employee,Revenue (Cr),Net-valuation (Cr),Share_price (RS),Company_background,Type,Product
PROJ0x60b,,,small-cap,Public_sector,Samoa,Ruben Fearn,6818.0,2.0021836489543814,,51.35,"Massive amounts of data are stored worldwide every day, but unless it can be analyzed and presented effectively it essentially resides in what have been called data tombs: ""data archives that are seldom visited"". Southern Innovator Magazine Issue 1: Mobile Phones and Information Technology: United Nations Office for South-South Cooperation. Morton, eds.",Production,Gaming hardware
PROJ0x4bf7,,"October,1976",small-cap,Private_sector,,Rebecca Bedford,,-999.0,27322.230867617367,192.05, manufacturing performs well compared to the rest of the U. A total of 3.,Food,Fastfood
PROJ0x6f2f,,"March,1958",?,?,,William Armstrong,,2.962963783657358,592.5927567314716,," They have compared production and investment in a range of Western and non-Western countries and presented case studies of growth and performance in important individual industries and market-economic sectors.S.How Everyday Things Are Made: video presentationsGrant Thornton IBR 2008 Manufacturing industry focusEEF, the manufacturers' organisation – industry group representing uk manufacturers Enabling the Digital Thread for Smart ManufacturingEvidences of Metal Manufacturing HistoryManufacturing Sector of the National Occupational Research Agenda, USA, 2018.",Food,Beverage
PROJ0x8f11,,"December,1968",mid-cap,?,,Gloria Peterson,,8.944510510475515,,-772.2817371555742,"Dongfeng Motor holds a 12. FMG, China Motor, and Mitsubishi Motors has a joint venture called Soueast, FMG holds a 50% stake, and both China Motor and Mitsubishi Motors holds an equal 25% stake.",Production,Bike
PROJ0x4cd9,,,small-cap,?,,?,,1.2697783854712859,,,"  A cost center is a department or staff which incurs expenses, or “costs”, within a company rather than generating profits or revenue streams. These important inventions led to the development of the personal computer (PC) in the 1970s, and the emergence of information and communications technology (ICT). Most of the world's digital data is unstructured, and stored in a variety of different physical formats even within a single organization.",Production,Gaming hardware
PROJ0x4b17,NFD,,?,?,,Ryan Mcintyre,,?,,71.5," Such goods may be sold to other manufacturers for the production of other more complex products (such as aircraft, household appliances, furniture, sports equipment or automobiles), or distributed via the tertiary industry to end users and consumers (usually through wholesalers, who in turn sell to retailers, who then sell them to individual customers). Tort law and product liability impose additional costs on manufacturing.",Mechanical,Kids toys
PROJ0x82ee,,,small-cap,?,,Thomas Coffland,,?,-18642.114013337243,1186.3076508468928,"On November 16, 2018, Toys  Us Asia announced that the parent company has formally sold the Asian unit to Fung Retailing and multiple Toys  Us lenders at a valuation of US$900 million (later revised to US$760 million), with Fung Retailing receiving an increase in shares of the unit to become the lead shareholder of Toys  Us Asia and the unit securing the licensing rights to retain the Toys  Us namebrand.S., many traditional board games are popular.Animal Behavior Center: Cat Behavior: Cat's play, ASPCA, archived from the original (– Scholar search) on 2007-12-29, retrieved 2008-01-12 . Hidden treats help engage the cat's senses, such as sense of smell, and can be a form of play that enables them to utilize their searching skills. Applied Animal Behaviour Science.",Toys,None
PROJ0x8954,DUN,,?,?,,?,,3.3404002020206636,1002.1200606061992,132.95," economy, research shows that it performs poorly compared to manufacturing in other high-wage countries. Examples in Asia include Toyota, Yamaha, Panasonic, LG, Samsung, Godrej & Boyce and Tata Motors.",Mechanical,Wiring tools
PROJ0x1ce6,UEJK,"February,1987",?,,,?,,1.8408133653396903,-90312.91345384662,,"Class I devices are subject to the least regulatory control and are not intended to help support or sustain life or be substantially important in preventing impairment to human health, and may not present an unreasonable risk of illness or injury. Thus, the government provides universal coverage to all citizens.",Production,Medical devices
PROJ0x203b,,"December,2012",?,?,,?,22718.0,1.2973288336138586,194.59932504207882,,"List of manufacturing processesManufacturing Process ManagementManagementList of management topicsTotal quality managementQuality controlSix SigmaList of largest manufacturing companies by revenueIndustrial robotManufacturing engineeringProcess manufacturingManufacturing in the United StatesIndustrial engineeringAdvanced manufacturingMetal fabricationMicrofabricationOptics fabricationSemiconductor device fabricationBiomanufacturingMesoscale ManufacturingCyber manufacturingTaylorism/Scientific managementFordismKalpakjian, Serope; Steven Schmid (August 2005).Manufacturing in the Soviet Union was based on collectivism.The negative costs of manufacturing can also be addressed legally.",Toys,Kids toys
PROJ0x3e34,,"March,1997",small-cap,Public_sector,,?,14461.0,-999.0,529.6335830354388,128.85," They have compared production and investment in a range of Western and non-Western countries and presented case studies of growth and performance in important individual industries and market-economic sectors. Some industries, such as semiconductor and steel manufacturers, use the term fabrication instead. Manufacturing provides important material support for national infrastructure and for national defense.",Mechanical,Kids toys
PROJ0x8271,,,small-cap,?,,?,686.0,2.3172937718773525,11003.09478749036,," economy, research shows that it performs poorly compared to manufacturing in other high-wage countries. In much of the pre-industrial world, the guild system protected the privileges and trade secrets of urban artisans.S.",Mechanical,Wiring tools
PROJ0x3d09,,,?,?,,?,2695.0,1.8962900680489445,379.2580136097889,91.8," Later, automation was introduced to incrementally replace human operators, a trend that has accelerated with the development of the computer and the robot.These are the top 50 countries by total value of manufacturing output in US dollars for its noted year according to World Bank. It is the essence of secondary sector of the economy.",Toys,Kids toys
PROJ0x7e9b,,,?,Public_sector,,?,,4.635971049222187,695.3956573833281,-3371.590236717979,"Enhanced environmentally friendly vehicleLight HaulageTruck classification.Renault and Nissan Motors have an alliance (Renault-Nissan Alliance) involving two global companies linked by cross-shareholding, with Renault holding 43.",Production,Bike
