"HM_STUDY_ID","PROTOCOL_ID","PFIZER_PROTOCOL_ID","DEVELOPMENT_PHASE","STUDY_STATUS_CURRENT","STUDY_THERAPEUTIC_AREA","STUDY_TYPE","YN_STUDY_CLOSED","CCS_CLINICAL_PLACEMENT","TOT_SUBJ_ENTERED_STUDY","EARLIEST_FSFV_FROM_SUBJECTS","EARLIEST_FSFV_FROM_SITES","EARLIEST_FSFV_FROM_MILESTONES","LATEST_LSLV_FROM_SITES","PLANNED_LSLV","ACTUAL_LSLV","ACTIVE_PATIENT_COUNT","YN_EXCLUDED","EXCLUDED_REASON","YN_VISUALIZE","ETL_COMMENTS","YN_PD_EXCLUDED","PD_EXCLUDED_REASON","YN_SAE_EXCLUDED","SAE_EXCLUDED_REASON","YN_RT_EXCLUDED","RT_EXCLUDED_REASON","YN_TL_EXCLUDED","TL_EXCLUDED_REASON"
27403,"A5481079","A5481079","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",26,2016-08-01,2016-08-01,NA,2016-11-16,2017-03-23,2017-03-23,24,"N",NA,"N","V_RATIO:.076923076923; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
19659,"A8641014","A8641014","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",72,2009-06-25,2009-06-25,2009-06-10,2016-11-22,2017-05-25,2017-05-25,72,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
20123,"A4061058","A4061058","PHASE II","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y",NA,224,2010-12-06,2010-12-06,2010-12-06,2016-12-20,2017-03-20,2017-03-20,224,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26122,"A4061079","A4061079","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","N",NA,52,2014-09-16,2014-09-16,2014-09-16,2019-07-03,2019-07-03,2019-07-03,57,"N",NA,"N","V_RATIO:.096153846154; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26531,"A5481044","A5481044","PHASE II","ONGOING","ONCOLOGY","INTERVENTIONAL","N","EXTERNAL - CONFIRMED",124,2015-09-10,2015-09-10,2015-09-10,NA,2018-08-27,2018-08-27,125,"N",NA,"Y","V_RATIO:.008064516129; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26537,"B7661001","B7661001","PHASE I","ONGOING","ONCOLOGY","INTERVENTIONAL","N","EXTERNAL - PLANNED",135,2014-10-17,2014-10-17,2014-10-17,NA,2018-01-23,2018-01-23,140,"N",NA,"Y","V_RATIO:.037037037037; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25460,"B1481020","B1481020","PHASE III","COMPLETED","CARDIOVASCULAR","INTERVENTIONAL","Y",NA,2140,2013-10-29,2013-10-29,2013-10-29,2017-07-10,2017-07-10,2017-10-25,2141,"N",NA,"N","V_RATIO:.00046728972; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25462,"B1481022","B1481022","PHASE III","TERMINATED","CARDIOVASCULAR","INTERVENTIONAL","Y",NA,16867,2013-01-01,2013-10-29,2013-10-29,2017-03-22,2017-10-27,2017-12-21,19363,"N",NA,"N","V_RATIO:.147981265192; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26561,"B1801381","B1801381","PHASE IV","COMPLETED","INFLAMMATION","INTERVENTIONAL","N",NA,210,2015-09-24,2015-09-24,2015-09-24,2019-09-06,2019-09-20,2019-09-20,210,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25542,"A4091059","A4091059","PHASE III","COMPLETED","PAIN","INTERVENTIONAL","Y",NA,1832,2015-08-18,2015-08-18,2015-08-18,2018-12-20,2019-07-26,2019-10-23,1857,"N",NA,"N","V_RATIO:.01364628821; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25546,"B5381002","B5381002","PHASE III","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y",NA,597,2015-06-25,2015-06-25,2015-06-25,2017-12-06,2018-05-26,2019-02-08,598,"N",NA,"N","V_RATIO:.001675041876; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26651,"B1871048","B1871048","PHASE II","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,60,2017-05-15,2017-05-15,2017-05-15,NA,2019-07-01,2019-07-01,60,"N",NA,"Y","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26658,"A8081054","A8081054","PHASE I","TERMINATED","ONCOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",9,2015-10-19,2015-10-19,2015-10-19,2017-12-20,2018-11-14,2018-11-14,9,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25892,"A5481027","A5481027","PHASE III","ONGOING","ONCOLOGY","INTERVENTIONAL","N","EXTERNAL - CONFIRMED",339,2015-03-23,2015-03-23,2015-03-23,NA,2016-02-15,2016-02-15,340,"N",NA,"Y","V_RATIO:.002949852507; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25903,"A3921213","A3921213","PHASE I","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",26,2018-12-03,2018-12-03,2018-12-03,2019-02-12,2019-07-15,2019-08-14,26,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26609,"B1791089","B1791089","PHASE IV","ONGOING","GASTROINTESTINAL","INTERVENTIONAL","N",NA,7,2017-05-09,2017-05-09,2017-05-09,NA,2019-09-04,2019-09-04,14,"N",NA,"Y","V_RATIO:1; SD00:Subject data control check passed. Active Patient Count > Subject Entered Study Count","N",NA,"N",NA,"N",NA,"N",NA
