"HM_SITE_ID","HM_STUDY_ID","STUDY_SITE_NUMBER","SITE_FSFV_DATE","SITE_FSFV_DATE_DERIVED","SITE_LSLV_DATE","SITE_LSLV_DATE_DERIVED","SITE_STATUS","COUNTRY_NAME","HM_COUNTRY_ID","LAST_MVR_DATE","YN_EXCLUDED","EXCLUDED_REASON","ETL_COMMENTS","YN_PD_EXCLUDED","PD_EXCLUDED_REASON","YN_SAE_EXCLUDED","SAE_EXCLUDED_REASON","YN_RT_EXCLUDED","RT_EXCLUDED_REASON","YN_TL_EXCLUDED","TL_EXCLUDED_REASON","ACTIVE_PATIENT_COUNT"
263949,27403,"1001",2016-08-01,2016-08-01,2016-11-16,2016-11-16,"COMPLETED","UNITED STATES",17,2016-11-14,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
159842,19659,"1004",2009-06-25,2009-06-25,2016-11-22,2016-11-22,"COMPLETED","UNITED STATES",17,2016-12-13,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
173991,20123,"1002",2011-12-13,2011-12-13,2016-01-14,2016-01-14,"COMPLETED","HUNGARY",51,2016-02-01,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
173992,20123,"1003",2011-03-31,2011-03-31,2015-04-14,2015-04-14,"COMPLETED","HUNGARY",51,2015-09-07,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
175451,20123,"1035",2011-03-04,2011-03-04,2013-06-10,2013-06-10,"TERMINATED","KOREA, REPUBLIC OF",24,2014-12-17,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
175365,20123,"1029",2011-03-26,2011-03-26,2016-12-20,2016-12-20,"COMPLETED","JAPAN",82,2017-02-16,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
175373,20123,"1034",2011-08-02,2011-08-02,2013-12-29,2013-12-29,"COMPLETED","JAPAN",82,2015-08-26,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
175493,20123,"1036",2011-03-08,2011-03-08,2015-12-29,2015-12-29,"COMPLETED","KOREA, REPUBLIC OF",24,2016-02-19,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
175494,20123,"1037",2011-02-01,2011-02-01,2012-12-27,2012-12-27,"TERMINATED","KOREA, REPUBLIC OF",24,2014-12-15,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
175523,20123,"1039",2011-04-19,2011-04-19,2014-12-09,2014-12-09,"COMPLETED","JAPAN",82,2015-09-15,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
174282,20123,"1011",2011-06-01,2011-06-01,2014-11-06,2014-11-06,"COMPLETED","HONG KONG",21,2014-12-02,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
174748,20123,"1021",2011-05-23,2011-05-23,2013-05-07,2013-05-07,"TERMINATED","UNITED STATES",17,2015-03-24,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
213324,20123,"1053",2011-11-30,2011-11-30,2014-11-04,2014-11-04,"COMPLETED","UNITED KINGDOM",101,2014-11-17,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
213325,20123,"1054",2011-11-04,2011-11-04,2012-06-24,2012-06-24,"COMPLETED","UNITED KINGDOM",101,2014-11-18,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
213487,20123,"1056",2011-12-01,2011-12-01,2012-05-25,2012-05-25,"COMPLETED","UNITED KINGDOM",101,2015-05-06,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
214553,20123,"1065",2012-02-14,2012-02-13,2014-10-31,2014-10-31,"COMPLETED","CHINA",20,2015-06-11,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
214555,20123,"1067",2011-06-01,2011-06-01,2011-11-18,2011-11-18,"COMPLETED","CHINA",20,2015-09-14,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
217417,20123,"1086",2011-11-14,2011-11-14,2014-10-30,2014-10-30,"COMPLETED","TAIWAN",30,2014-11-10,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
216021,20123,"1082",2011-05-27,2011-05-26,2011-10-27,2011-10-27,"COMPLETED","CHINA",20,2015-04-15,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
215693,20123,"1078",2011-07-14,2011-07-14,2014-10-28,2014-10-28,"COMPLETED","CHINA",20,2015-01-28,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
215224,20123,"1077",2012-02-23,2012-02-23,2013-04-24,2013-04-24,"COMPLETED","UNITED KINGDOM",101,2015-03-03,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
218717,20123,"1090",2012-03-14,2012-03-14,2015-04-07,2015-04-07,"COMPLETED","FRANCE",87,2015-05-12,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
220811,20123,"1105",2012-01-18,2012-01-18,2014-11-13,2014-11-13,"COMPLETED","FRANCE",87,2015-03-02,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
215106,20123,"1071",2012-02-16,2012-02-16,2014-09-05,2014-09-05,"COMPLETED","FRANCE",87,2015-03-11,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
214080,20123,"1060",2012-02-17,2012-02-17,2014-11-24,2014-11-24,"COMPLETED","FRANCE",87,2014-12-17,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
215180,20123,"1075",2012-03-07,2012-03-07,2014-11-17,2014-11-17,"COMPLETED","ITALY",92,2015-01-20,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
215196,20123,"1076",2011-10-13,2011-10-13,2015-12-14,2015-12-14,"COMPLETED","FRANCE",87,2016-01-13,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
246516,26122,"1009",2015-05-20,2015-05-20,2019-01-02,2019-01-02,"COMPLETED","UNITED STATES",17,2019-07-10,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
247281,26122,"1010",2015-06-05,2015-06-05,2018-04-23,2018-04-23,"COMPLETED","UNITED STATES",17,2019-07-17,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
245944,26122,"1004",2014-09-17,2014-09-17,2018-04-03,2018-04-03,"COMPLETED","UNITED STATES",17,2019-07-18,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
245945,26122,"1007",2015-05-21,2015-05-21,2017-09-07,2017-09-07,"TERMINATED","UNITED STATES",17,2019-07-12,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
245906,26122,"1005",2015-05-19,2015-05-19,2018-01-30,2018-01-30,"COMPLETED","UNITED STATES",17,2019-07-16,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
245907,26122,"1002",2014-11-20,2014-11-20,2019-06-20,2019-06-20,"COMPLETED","UNITED STATES",17,2019-07-22,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
245908,26122,"1001",2015-01-26,2015-01-26,2019-04-02,2019-04-02,"COMPLETED","UNITED STATES",17,2019-07-19,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
245909,26122,"1003",2014-11-13,2014-11-13,2019-07-03,2019-07-03,"COMPLETED","UNITED STATES",17,2019-07-19,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
246145,26122,"1008",2015-09-30,2015-09-30,2015-09-30,2015-09-30,"TERMINATED","UNITED STATES",17,2015-12-11,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
245969,26122,"1006",2014-09-16,2014-09-16,2018-01-19,2018-01-19,"COMPLETED","UNITED STATES",17,2019-07-11,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
253036,26531,"1002",2016-07-08,2016-07-08,2018-11-19,2018-11-19,"COMPLETED","ROMANIA",67,2019-03-05,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,3
253037,26531,"1003",2016-09-14,2016-09-14,2019-04-03,2019-04-03,"COMPLETED","ROMANIA",67,2019-04-16,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,2
254925,26531,"1053",2016-06-06,2016-06-06,2016-08-10,2016-08-10,"COMPLETED","CZECH REPUBLIC",44,2018-05-17,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,1
253291,26531,"1006",2015-09-10,2015-09-10,2016-06-22,2016-06-22,"COMPLETED","UNITED STATES",17,2018-07-24,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,1
253292,26531,"1007",2016-03-22,2016-03-22,2016-09-01,2016-09-01,"COMPLETED","UNITED STATES",17,2018-07-12,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,1
253453,26531,"1009",2016-08-24,2016-08-24,NA,NA,"ONGOING","MEXICO",13,2019-10-03,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,5
253455,26531,"1011",2017-07-21,2017-07-21,2018-01-31,2018-01-31,"COMPLETED","MEXICO",13,2018-10-18,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,1
254239,26531,"1024",2016-09-05,2016-09-05,2017-08-22,2017-08-22,"TERMINATED","ROMANIA",67,2017-09-07,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,NA
254260,26531,"1025",2017-05-04,2017-05-04,2018-04-25,2018-04-25,"COMPLETED","UNITED STATES",17,2018-11-12,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,3
254266,26531,"1028",2016-05-25,2016-05-25,2018-11-20,2018-11-20,"COMPLETED","ROMANIA",67,2019-03-11,"N",NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,4
