"HM_GL_IN_OR_RISK_CAT_COUNT_ID","HM_GL_IN_OVERSIGHT_REPORTS_ID","RISK_CATEGORY","RISK_CATEGORY_COUNT"
22862696,2699782,"MONITORING",2
22862892,2699782,"SMF/TMF",3
22863088,2699782,"INFORMED CONSENT",3
22816147,2701901,"SDV/CRF VERIFICATION",8
22863284,2699782,"SDV/CRF VERIFICATION",2
22863480,2699782,"SAE REPORTING",0
22863676,2699782,"INVESTIGATIONAL PROD",0
22863872,2699782,"OTHER",0
22864068,2699782,"TOTAL ISSUES",10
22815556,2701899,"MONITORING",2
22815555,2701900,"MONITORING",0
22815559,2701901,"MONITORING",11
22815752,2701899,"SMF/TMF",1
22815948,2701899,"INFORMED CONSENT",1
22815751,2701900,"SMF/TMF",0
22815947,2701900,"INFORMED CONSENT",0
22815755,2701901,"SMF/TMF",0
22815951,2701901,"INFORMED CONSENT",0
22816144,2701899,"SDV/CRF VERIFICATION",3
22816143,2701900,"SDV/CRF VERIFICATION",0
22816340,2701899,"SAE REPORTING",0
22816339,2701900,"SAE REPORTING",0
22816536,2701899,"INVESTIGATIONAL PROD",7
22816535,2701900,"INVESTIGATIONAL PROD",0
22816732,2701899,"OTHER",2
22816731,2701900,"OTHER",0
22816928,2701899,"TOTAL ISSUES",16
22816927,2701900,"TOTAL ISSUES",0
22816343,2701901,"SAE REPORTING",0
22816539,2701901,"INVESTIGATIONAL PROD",2
22816735,2701901,"OTHER",0
22816931,2701901,"TOTAL ISSUES",21
22912790,2707958,"Other",1
22912787,2707958,"Data",1
22912788,2707958,"Essential Documents",4
22912789,2707958,"Investigational Prod",1
22912048,2707842,"Informed Consent Doc",2
22912045,2707842,"Alliance Partner/Ven",2
22912046,2707842,"Data",4
22912047,2707842,"Essential Documents",1
22912049,2707842,"Investigational Prod",2
22912050,2707842,"Safety",3
22912051,2707842,"Site Qualifications",3
22929303,2707837,"Informed Consent Doc",1
22929300,2707837,"Alliance Partner/Ven",1
22929301,2707837,"Data",2
22929302,2707837,"Essential Documents",3
22929304,2707837,"Other",1
22929305,2707837,"Safety",3
22929306,2707837,"Site Qualifications",6
22817063,2701539,"MONITORING",0
22817062,2701540,"MONITORING",0
22817061,2701541,"MONITORING",0
22817649,2701541,"SDV/CRF VERIFICATION",2
22904872,2701538,"MONITORING",1
22905068,2701538,"SMF/TMF",0
22905264,2701538,"INFORMED CONSENT",0
22905460,2701538,"SDV/CRF VERIFICATION",0
22905656,2701538,"SAE REPORTING",0
22905852,2701538,"INVESTIGATIONAL PROD",0
22906048,2701538,"OTHER",0
22906244,2701538,"TOTAL ISSUES",1
22818043,2701539,"INVESTIGATIONAL PROD",0
22818042,2701540,"INVESTIGATIONAL PROD",0
22818041,2701541,"INVESTIGATIONAL PROD",0
22818239,2701539,"OTHER",3
22818435,2701539,"TOTAL ISSUES",8
22818238,2701540,"OTHER",2
22818434,2701540,"TOTAL ISSUES",3
22818237,2701541,"OTHER",0
22818433,2701541,"TOTAL ISSUES",2
22817259,2701539,"SMF/TMF",0
22817258,2701540,"SMF/TMF",0
22817257,2701541,"SMF/TMF",0
22817455,2701539,"INFORMED CONSENT",0
22817454,2701540,"INFORMED CONSENT",0
