"HM_GL_IN_OVERSIGHT_REPORTS_ID","HM_SITE_ID","HM_STUDY_ID","REPORT_SOURCE","REPORT_ID","REPORT_TYPE","REPORT_START_DATE","REPORT_END_DATE"
2699782,159842,19659,"PSQRV","8837","PSQRV",2012-02-23 00:00:00,2012-02-24 00:00:00
2701899,173991,20123,"PSQRV","5702","PSQRV",2013-06-27 00:00:00,2013-06-27 00:00:00
2701900,173991,20123,"PSQRV","5701","PSQRV",2012-02-08 00:00:00,2012-02-08 00:00:00
2707958,173991,20123,"SH","11356","On Site Visit - Ongoing",2014-12-19 00:00:00,2014-12-19 00:00:00
2701901,173992,20123,"PSQRV","5705","PSQRV",2013-07-05 00:00:00,2013-07-05 00:00:00
2707837,175451,20123,"SH","4291","On Site Visit - Ongoing",2014-06-17 00:00:00,2014-06-17 00:00:00
2701538,175365,20123,"PSQRV","15278","PSQRV",2013-10-25 00:00:00,2013-10-25 00:00:00
2701539,175365,20123,"PSQRV","5736","PSQRV",2013-07-23 00:00:00,2013-07-23 00:00:00
2701540,175365,20123,"PSQRV","5735","PSQRV",2013-05-09 00:00:00,2013-05-09 00:00:00
2701541,175365,20123,"PSQRV","5734","PSQRV",2013-01-23 00:00:00,2013-01-24 00:00:00
2707786,175365,20123,"SH","7398","On Site Visit - Ongoing",2014-08-26 00:00:00,2014-08-27 00:00:00
2701555,175373,20123,"PSQRV","5758","PSQRV",2013-06-03 00:00:00,2013-06-03 00:00:00
2701556,175373,20123,"PSQRV","5757","PSQRV",2012-09-28 00:00:00,2012-09-28 00:00:00
2707842,175493,20123,"SH","1162","On Site Visit - Ongoing",2014-02-13 00:00:00,2014-02-13 00:00:00
2707843,175494,20123,"SH","8151","On Site Visit - Ongoing",2014-09-29 00:00:00,2014-09-29 00:00:00
2701669,175523,20123,"PSQRV","5764","PSQRV",2013-06-19 00:00:00,2013-06-19 00:00:00
2701670,175523,20123,"PSQRV","5763","PSQRV",2012-10-24 00:00:00,2012-10-26 00:00:00
2700561,174282,20123,"PSQRV","5715","PSQRV",2012-12-18 00:00:00,2012-12-18 00:00:00
2707454,174282,20123,"SH","3014","On Site Visit - Ongoing",2014-04-22 00:00:00,2014-04-22 00:00:00
2700939,174748,20123,"PSQRV","5718","PSQRV",2012-07-10 00:00:00,2012-07-10 00:00:00
2703172,213324,20123,"PSQRV","5773","PSQRV",2012-05-03 00:00:00,2012-05-03 00:00:00
2703173,213324,20123,"PSQRV","5772","PSQRV",2011-12-20 00:00:00,2011-12-20 00:00:00
2703174,213325,20123,"PSQRV","5774","PSQRV",2012-04-26 00:00:00,2012-04-26 00:00:00
2703228,213487,20123,"PSQRV","5775","PSQRV",2012-01-23 00:00:00,2012-01-23 00:00:00
2708349,215693,20123,"SH","3991","On Site Visit - Ongoing",2014-06-10 00:00:00,2014-06-11 00:00:00
2703699,215224,20123,"PSQRV","5792","PSQRV",2012-05-16 00:00:00,2012-05-16 00:00:00
2708229,215224,20123,"SH","11887","On Site Visit - Ongoing",2015-01-13 00:00:00,2015-01-13 00:00:00
2703461,218717,20123,"PSQRV","15280","PSQRV",2013-10-18 00:00:00,2013-10-18 00:00:00
2703462,218717,20123,"PSQRV","5804","PSQRV",2012-07-05 00:00:00,2012-07-06 00:00:00
2703558,220811,20123,"PSQRV","5814","PSQRV",2012-06-04 00:00:00,2012-06-05 00:00:00
2703568,215106,20123,"PSQRV","5787","PSQRV",2012-05-14 00:00:00,2012-05-16 00:00:00
2703385,214080,20123,"PSQRV","5779","PSQRV",2012-07-10 00:00:00,2012-07-11 00:00:00
2708209,215180,20123,"SH","902","On Site Visit - Ongoing",2014-01-23 00:00:00,2014-01-23 00:00:00
2703599,215196,20123,"PSQRV","5791","PSQRV",2013-10-03 00:00:00,2013-10-03 00:00:00
2703600,215196,20123,"PSQRV","5790","PSQRV",2012-04-10 00:00:00,2012-04-12 00:00:00
2714356,245944,26122,"SH","13957","On Site Visit - Ongoing",2015-02-18 00:00:00,2015-02-18 00:00:00
2713977,245907,26122,"SH","17890","On Site Visit - Ongoing",2015-04-27 00:00:00,2015-04-28 00:00:00
2713978,245908,26122,"SH","21857","On Site Visit - Ongoing",2015-07-30 00:00:00,2015-07-31 00:00:00
2714001,245909,26122,"SH","18122","On Site Visit - Ongoing",2015-05-15 00:00:00,2015-05-15 00:00:00
2714896,245969,26122,"SH","9552","On Site Visit - Ongoing",2014-11-05 00:00:00,2014-11-05 00:00:00
2714642,246083,26537,"SH","10714","On Site Visit - Ongoing",2014-12-02 00:00:00,2014-12-03 00:00:00
2714643,246085,26537,"SH","18377","On Site Visit - Ongoing",2015-05-06 00:00:00,2015-05-06 00:00:00
2714644,246088,26537,"SH","23874","On Site Visit - Ongoing",2018-02-16 06:23:00,2018-02-16 06:23:00
2714645,246088,26537,"SH","16098","On Site Visit - Ongoing",2015-03-27 00:00:00,2015-03-27 00:00:00
2713886,246105,26537,"SH","21442","On Site Visit - Ongoing",2015-07-08 00:00:00,2015-07-09 00:00:00
2711544,233661,25460,"SH","16243","On Site Visit - Ongoing",2015-04-01 00:00:00,2015-04-01 00:00:00
2711545,233662,25460,"SH","20748","On Site Visit - Ongoing",2015-06-22 00:00:00,2015-06-23 00:00:00
2711546,233664,25460,"SH","17699","On Site Visit - Ongoing",2015-04-20 00:00:00,2015-04-21 00:00:00
2711547,233665,25460,"SH","10931","On Site Visit - Ongoing",2014-12-11 00:00:00,2014-12-11 00:00:00
2711548,233666,25460,"SH","16960","On Site Visit - Ongoing",2015-04-15 00:00:00,2015-04-15 00:00:00
2711549,233666,25460,"SH","4562","On Site Visit - Ongoing",2014-07-04 00:00:00,2014-07-04 00:00:00
2711550,233667,25460,"SH","11997","On Site Visit - Ongoing",2015-01-15 00:00:00,2015-01-15 00:00:00
2711551,233669,25460,"SH","11332","On Site Visit - Ongoing",2014-12-29 00:00:00,2014-12-29 00:00:00
2711552,233673,25460,"SH","18480","On Site Visit - Ongoing",2015-05-21 00:00:00,2015-05-22 00:00:00
2711553,233673,25460,"SH","5086","On Site Visit - Ongoing",2014-07-24 00:00:00,2014-07-25 00:00:00
2711554,233674,25460,"SH","11044","On Site Visit - Ongoing",2014-12-18 00:00:00,2014-12-18 00:00:00
2711555,233676,25460,"SH","20940","On Site Visit - Ongoing",2015-07-09 00:00:00,2015-07-09 00:00:00
2711556,233677,25460,"SH","11015","On Site Visit - Ongoing",2014-12-10 00:00:00,2014-12-11 00:00:00
2711557,233678,25460,"SH","22083","On Site Visit - Ongoing",2015-07-21 00:00:00,2015-07-21 00:00:00
2711558,233680,25460,"SH","9759","On Site Visit - Ongoing",2014-11-05 00:00:00,2014-11-05 00:00:00
2711559,233682,25460,"SH","10356","On Site Visit - Ongoing",2014-11-19 00:00:00,2014-11-20 00:00:00
2711560,233683,25460,"SH","18017","On Site Visit - Ongoing",2015-05-08 00:00:00,2015-05-08 00:00:00
2711561,233684,25460,"SH","4912","On Site Visit - Ongoing",2014-07-07 00:00:00,2014-07-07 00:00:00
2711562,233685,25460,"SH","1891","On Site Visit - Ongoing",2014-03-13 00:00:00,2014-03-13 00:00:00
2711563,233687,25460,"SH","2120","On Site Visit - Ongoing",2014-03-11 00:00:00,2014-03-11 00:00:00
2711564,233688,25460,"SH","8894","On Site Visit - Ongoing",2014-10-20 00:00:00,2014-10-20 00:00:00
2711565,233689,25460,"SH","3795","On Site Visit - Ongoing",2014-05-19 00:00:00,2014-05-20 00:00:00
2711566,233690,25460,"SH","7110","On Site Visit - Ongoing",2014-08-14 00:00:00,2014-08-14 00:00:00
2711567,233690,25460,"SH","3948","On Site Visit - Ongoing",2014-05-29 00:00:00,2014-05-30 00:00:00
2711568,233691,25460,"SH","18405","On Site Visit - Ongoing",2015-05-05 00:00:00,2015-05-06 00:00:00
2711569,233691,25460,"SH","9227","On Site Visit - Ongoing",2014-10-14 00:00:00,2014-10-15 00:00:00
2711570,233692,25460,"SH","8376","On Site Visit - Ongoing",2014-08-20 00:00:00,2014-08-20 00:00:00
2711571,233692,25460,"SH","1465","On Site Visit - Ongoing",2014-01-14 00:00:00,2014-01-14 00:00:00
2711572,233694,25460,"SH","2016","On Site Visit - Ongoing",2014-03-06 00:00:00,2014-03-06 00:00:00
2711573,233696,25460,"SH","5547","On Site Visit - Ongoing",2014-07-10 00:00:00,2014-07-11 00:00:00
2711574,233696,25460,"SH","1883","On Site Visit - Ongoing",2014-02-20 00:00:00,2014-02-21 00:00:00
2711575,233697,25460,"SH","3092","On Site Visit - Ongoing",2014-04-15 00:00:00,2014-04-15 00:00:00
2711576,233699,25460,"SH","3053","On Site Visit - Ongoing",2014-04-15 00:00:00,2014-04-15 00:00:00
2711577,233702,25460,"SH","4416","On Site Visit - Ongoing",2014-06-30 00:00:00,2014-06-30 00:00:00
2711578,233704,25460,"SH","1848","On Site Visit - Ongoing",2014-03-05 00:00:00,2014-03-05 00:00:00
2711579,233705,25460,"SH","11364","On Site Visit - Ongoing",2014-12-18 00:00:00,2014-12-18 00:00:00
2711580,233706,25460,"SH","5779","On Site Visit - Ongoing",2014-07-16 00:00:00,2014-07-17 00:00:00
2711581,233706,25460,"SH","2875","On Site Visit - Ongoing",2014-04-15 00:00:00,2014-04-16 00:00:00
2711582,233707,25460,"SH","6943","On Site Visit - Ongoing",2014-09-03 00:00:00,2014-09-03 00:00:00
2711583,233709,25460,"SH","9314","On Site Visit - Ongoing",2014-10-28 00:00:00,2014-10-28 00:00:00
2711584,233709,25460,"SH","2051","On Site Visit - Ongoing",2014-03-18 00:00:00,2014-03-18 00:00:00
2711585,233712,25460,"SH","15937","On Site Visit - Ongoing",2015-03-17 00:00:00,2015-03-17 00:00:00
2711586,233713,25460,"SH","7303","On Site Visit - Ongoing",2014-09-09 00:00:00,2014-09-09 00:00:00
2711587,233714,25460,"SH","1350","On Site Visit - Ongoing",2014-02-24 00:00:00,2014-02-24 00:00:00
2711588,233716,25460,"SH","3778","On Site Visit - Ongoing",2014-05-28 00:00:00,2014-05-28 00:00:00
2711589,233717,25460,"SH","5264","On Site Visit - Ongoing",2014-07-09 00:00:00,2014-07-09 00:00:00
2711590,233718,25460,"SH","17316","On Site Visit - Ongoing",2015-04-22 00:00:00,2015-04-22 00:00:00
2711591,233720,25460,"SH","5325","On Site Visit - Ongoing",2014-07-29 00:00:00,2014-07-30 00:00:00
2711592,233723,25460,"SH","1156","On Site Visit - Ongoing",2014-02-04 00:00:00,2014-02-05 00:00:00
2711593,233725,25460,"SH","9265","On Site Visit - Ongoing",2014-10-29 00:00:00,2014-10-30 00:00:00
2711594,233726,25460,"SH","17763","On Site Visit - Ongoing",2015-04-23 00:00:00,2015-04-23 00:00:00
2711595,233727,25460,"SH","10689","On Site Visit - Ongoing",2014-11-26 00:00:00,2014-11-26 00:00:00
2711597,233731,25460,"SH","3788","On Site Visit - Ongoing",2014-05-22 00:00:00,2014-05-22 00:00:00
2711600,233739,25460,"SH","15635","On Site Visit - Ongoing",2015-03-25 00:00:00,2015-03-25 00:00:00
2711602,233744,25460,"SH","20423","On Site Visit - Ongoing",2015-06-17 00:00:00,2015-06-17 00:00:00
2711687,233766,25460,"SH","2703","On Site Visit - Ongoing",2014-04-01 00:00:00,2014-04-01 00:00:00
2711691,233773,25460,"SH","7768","On Site Visit - Ongoing",2014-09-18 00:00:00,2014-09-18 00:00:00
2711692,233774,25460,"SH","8967","On Site Visit - Ongoing",2014-10-07 00:00:00,2014-10-08 00:00:00
2711693,233775,25460,"SH","7479","On Site Visit - Ongoing",2014-09-08 00:00:00,2014-09-08 00:00:00
2711694,233778,25460,"SH","16838","On Site Visit - Ongoing",2015-04-13 00:00:00,2015-04-16 00:00:00
2711695,233779,25460,"SH","11043","On Site Visit - Ongoing",2014-12-09 00:00:00,2014-12-10 00:00:00
2711696,233780,25460,"SH","11363","On Site Visit - Ongoing",2014-12-17 00:00:00,2014-12-17 00:00:00
2711697,233781,25460,"SH","18453","On Site Visit - Ongoing",2015-05-22 00:00:00,2015-05-22 00:00:00
2711698,233783,25460,"SH","4381","On Site Visit - Ongoing",2014-06-24 00:00:00,2014-06-24 00:00:00
2711699,233786,25460,"SH","18952","On Site Visit - Ongoing",2015-05-20 00:00:00,2015-05-20 00:00:00
